1,5429,5581,,person.couch.tie.bottle.vase,couch.tie.bottle.vase
2,5582,5563,,,
3,5564,5730,,person.couch.bottle.vase.tie,couch.bottle.vase.tie
4,5731,5785,,person.remote,remote
5,5786,5821,하정우,person.tie,tie
6,5822,5851,,person.clock,clock
7,5852,5921,,person,
8,5922,5947,,person,
9,5948,5993,하정우,person.tie.vase,tie.vase
10,5994,6067,,person.couch.vase.bottle.tie,couch.vase.bottle.tie
11,6068,6113,하정우,person.tie,tie
12,6114,6165,,person.bottle.vase.couch.tie,bottle.vase.couch.tie
13,6166,6186,하정우,person.tie,tie
14,6187,6221,하정우,person.tie.vase,tie.vase
15,6222,6263,하정우,person.tie,tie
16,6264,6317,하정우,person.tie.vase.sink,tie.vase.sink
17,6318,6351,하정우,person.tie,tie
18,6352,6372,하정우,person,
19,6373,6391,하정우,person.tie,tie
20,6392,6416,하정우,person,
21,6417,6447,하정우,person.tie,tie
22,6448,6491,하정우,person.tie,tie
23,6492,6545,하정우,person.chair.laptop.microwave.wine.glass,chair.laptop.microwave.wine.glass
24,6546,6586,하정우,person.tie,tie
25,6587,6617,,person.tie.couch.vase,tie.couch.vase
26,6618,6773,하정우,person.tie.tv.chair,tie.tv.chair
27,6774,6813,,person.couch.tie,couch.tie
28,6814,6850,하정우,person.tie,tie
29,6851,6907,,person.book,book
30,6908,7013,하정우,person.tie,tie
31,7014,7075,,person,
32,7076,7133,하정우,person.tie.vase.tv,tie.vase.tv
33,7134,7183,,person.couch.tie,couch.tie
34,7184,7256,하정우,person.tie,tie
35,7257,7365,,person.handbag.tie,handbag.tie
36,7366,7457,,person.teddy.bear.cup,teddy.bear.cup
37,7458,7507,,person,
38,7508,7555,,person.tie,tie
39,7556,7600,하정우,person.tie,tie
40,7601,7656,하정우,person.chair.tie.tv,chair.tie.tv
41,7657,7748,하정우,person.tie,tie
42,7749,7838,,donut.knife.hot.dog,donut.knife.hot.dog
43,7839,7861,하정우,person.tie,tie
44,7862,7931,,person.vase,vase
45,7932,7996,,donut.dining.table.person,donut.dining.table
46,7997,8030,하정우,person.tie,tie
47,8031,8070,하정우,person.tie,tie
48,8071,8098,,person.vase,vase
49,8099,8188,하정우,person.tie.tv,tie.tv
50,8189,8266,하정우,person.tie,tie
51,8267,8326,,person.chair,chair
52,8327,8398,하정우,person.tie,tie
53,8399,8454,,person,
54,8455,8600,하정우,person.tie,tie
55,8601,8641,성동일,person,
56,8642,8706,성동일,person,
57,8707,8760,하정우,person.tie,tie
58,8761,8831,,person.tie.vase,tie.vase
59,8832,8882,하정우,person.tie,tie
60,8883,8930,성동일,person,
61,8931,8973,,person,
62,8974,9020,하정우,person.tie,tie
63,9021,9066,하정우,tv.toilet.tie.person,tv.toilet.tie
64,9067,9113,하정우,person.tie,tie
65,9114,9211,,person.couch.bottle.vase.tie,couch.bottle.vase.tie
66,9212,9255,,person,
67,9256,9283,,person.chair.tie,chair.tie
68,9284,9307,,person.tie,tie
69,9308,9326,,person,
70,9327,9368,하정우,person.tie,tie
71,9369,9423,,person.chair,chair
72,9424,9478,,person,
73,9479,9508,하정우,person.tie,tie
74,9509,9547,,person.vase.couch,vase.couch
75,9548,9587,하정우,person.tie,tie
76,9588,9630,,person.spoon.tie,spoon.tie
77,9631,9678,하정우,person.tie,tie
78,9679,9751,하정우,person.tie,tie
79,9752,9795,,person,
80,9796,9876,하정우,person.tie,tie
81,9877,9928,,person.tie.couch,tie.couch
82,9929,9968,하정우,person.tie,tie
83,9969,10002,하정우,person.tie,tie
84,10003,10078,하정우,person.tie,tie
85,10079,10173,,person.couch.hair.drier,couch.hair.drier
86,10174,10225,하정우,person.tie,tie
87,10226,10290,성동일,person,
88,10291,10352,하정우,person.tie,tie
89,10353,10381,,person.tie,tie
90,10382,10435,,person.vase.couch,vase.couch
91,10436,10472,하정우,person.tie,tie
92,10473,10590,하정우,person.chair.cake.cup,chair.cake.cup
93,10591,10647,하정우,person.tie,tie
94,10648,10685,,person.tie.spoon,tie.spoon
95,10686,10732,,person.tie.couch.bottle,tie.couch.bottle
96,10733,10770,하정우,person.tie,tie
97,10771,10801,,person.tie.spoon,tie.spoon
98,10802,10851,하정우,person.tie,tie
99,10852,10893,,person.tie,tie
100,10894,11011,하정우,person.tie,tie
101,11012,11048,,person.tie.couch,tie.couch
102,11049,11096,하정우,person.tie,tie
103,11097,11126,,person,
104,11127,11157,하정우,person.tie,tie
105,11158,11187,,person,
106,11188,11213,하정우,person.tie,tie
107,11214,11265,,person.bottle.couch,bottle.couch
108,11266,11317,,person.tie,tie
109,11318,11346,하정우,person.tie,tie
110,11347,11382,하정우,person.tie,tie
111,11383,11426,하정우,person.tie,tie
112,11427,11461,,person.tie,tie
113,11462,11486,하정우,person.tie,tie
114,11487,11511,,person.tie,tie
115,11512,11542,하정우,person.tie,tie
116,11543,11581,,person.tie,tie
117,11582,11663,하정우,tv.person.chair.tie,tv.chair.tie
118,11664,11711,하정우,person.tie,tie
119,11712,11756,,person.couch.bottle,couch.bottle
120,11757,11781,,person,
121,11782,11843,하정우,person.chair,chair
122,11844,11965,성동일,person.tie,tie
123,11966,12046,하정우,person,
124,12047,12088,성동일,person,
125,12089,12122,하정우,person,
126,12123,12181,하정우,person.sports.ball.spoon,sports.ball.spoon
127,12182,12201,성동일,person.chair,chair
128,12202,12231,성동일,person.book,book
129,12232,12263,하정우,person.sports.ball,sports.ball
130,12264,12311,,person,
131,12312,12356,성동일,person.book,book
132,12357,12448,하정우,person.sports.ball,sports.ball
133,12449,12501,성동일,person.chair.book,chair.book
134,12502,12561,성동일,person,
135,12562,12678,하정우,person.knife,knife
136,12679,12707,성동일,person,
137,12708,12840,하정우,person,
138,12841,12883,성동일,person,
139,12884,13003,,person.bottle.handbag.chair,bottle.handbag.chair
140,13004,13055,하정우,person.bed,bed
141,13056,13138,성동일,person,
142,13139,13221,하정우,person.handbag,handbag
143,13222,13230,성동일,person,
144,13231,13235,하정우,,
145,13236,13245,성동일,handbag.person.chair.bottle,handbag.chair.bottle
146,13246,13447,하정우.성동일,person,
147,13448,13497,성동일,person.bottle,bottle
148,13498,13541,,person,
149,13542,13616,성동일,person,
150,13617,13688,,person.chair,chair
151,13689,13791,성동일,person.chair.bottle,chair.bottle
152,13792,13867,성동일,person.remote.refrigerator,remote.refrigerator
153,13868,13906,,handbag.person.backpack,handbag.backpack
154,13907,14136,하정우.성동일,person.bottle.chair.laptop,bottle.chair.laptop
155,14137,14197,하정우.성동일,person,
156,14198,14245,하정우.성동일,person.chair,chair
157,14246,14282,하정우,person,
158,14283,14332,하정우.성동일,person.chair,chair
159,14333,14358,하정우,person,
160,14359,14373,하정우.성동일,person.chair,chair
161,14374,14392,하정우.성동일,person,
162,14393,14447,하정우.성동일,person.chair,chair
163,14448,14467,하정우,person,
164,14468,14542,성동일,person,
165,14543,14566,하정우,person,
166,14567,14622,성동일,person,
167,14623,14685,하정우,person,
168,14686,14732,성동일,person,
169,14733,14763,하정우,person,
170,14764,14808,하정우.성동일,person.chair.tie,chair.tie
171,14809,14833,하정우,person,
172,14834,14891,성동일,person,
173,14892,14931,하정우,person,
174,14932,14968,성동일,person,
175,14969,15042,하정우,person,
176,15043,15077,성동일,person,
177,15078,15128,하정우,person,
178,15129,15145,성동일,person,
179,15146,15161,하정우,person,
180,15162,15172,성동일,person,
181,15173,15203,하정우.성동일,person,
182,15204,15296,성동일,person,
