1,154,275,"Ross,Chandler","person,chair,couch,tie"
2,275,349,"Monica,Ross","tie,chair,person"
3,349,427,Ross,"tie,person"
4,427,560,"Rachel,Joey",person
5,560,636,"Monica,Ross,Joey,Chandler","tie,chair,person"
6,636,715,"Monica,Joey",
7,715,814,Chandler,
8,814,847,"Monica,Joey",
9,847,939,"Monica,Ross,Chandler","person,chair,potted_plant,tie"
10,939,1108,Rachel,person
11,1108,1141,"Monica,Ross,Chandler","person,chair,tie"
12,1141,1194,Rachel,person
13,1194,1265,Chandler,
14,1265,1293,Rachel,person
15,1293,1387,"Ross,Joey,Chandler,Phoebe","person,chair,tie,potted_plant,couch"
16,1387,1502,"Ross,Phoebe",tie
17,1502,1687,"Monica,Ross,Chandler,Phoebe","person,chair,tie"
18,1687,1767,Ross,"person,tie"
19,1767,1803,Chandler,"table,person"
20,1803,1839,Ross,tie
21,1839,1884,Chandler,person
22,1884,1917,"Rachel,Joey",person
23,2899,3167,Ross,"person,bed,tie"
24,3167,3209,Ross,"tie,person"
25,3226,3405,Ross,"tie,chair,bed,person"
26,3528,3580,Ross,"person,bed,tie"
27,3678,3779,Ross,"person,bed,tie"
28,3779,3809,Ross,tie
29,3870,3912,Ross,tie
30,3912,4039,Ross,"tie,bed,person"
31,4039,4307,"Ross,Rachel",tie
32,4329,4381,Rachel,
33,4381,4450,Rachel,"person,bed"
34,4450,4534,Rachel,person
35,4692,5055,"Monica,Rachel,Chandler","person,chair"
36,5055,5121,"Monica,Chandler",
37,5121,5221,"Monica,Chandler","person,chair"
38,5255,5327,Joey,
39,5430,5459,Joey,person
40,5459,5545,Joey,"person,couch"
41,5668,5708,Joey,
42,5731,5842,Joey,
43,5881,5936,Joey,
44,6020,6251,Joey,"person,dining_table,couch"
45,6336,6741,"Monica,Ross,Joey,Phoebe","person,couch"
46,6741,6834,Phoebe,
47,6834,6862,"Monica,Ross","tie,chair"
48,6886,7028,Phoebe,
49,7028,7184,"Monica,Ross,Phoebe","person,chair,couch,table"
50,7184,7214,"Monica,Ross",tie
51,7214,7295,"Monica,Ross,Phoebe","person,table,couch"
52,7295,7516,Monica,"person,chair"
53,7516,7549,Chandler,
54,7549,7623,Monica,
55,7623,7685,Chandler,
56,7685,7756,"Monica,Chandler",person
57,7756,7805,Monica,
58,7805,7885,Chandler,
59,7885,7963,Monica,
60,7963,7995,Chandler,
61,7995,8086,Monica,
62,8086,8124,Chandler,
63,8144,8294,"Monica,Chandler","person,couch"
64,8294,8407,"Rachel,Phoebe","person,couch"
65,8407,8455,Monica,person
66,8455,8609,"Rachel,Phoebe",person
67,8609,8673,"Monica,Chandler",person
68,8673,8767,"Rachel,Phoebe",
69,8767,8797,"Monica,Chandler,Phoebe",person
70,8797,8830,Rachel,
71,8830,8945,"Monica,Chandler,Phoebe",person
72,8945,9060,"Rachel,Chandler",
73,9060,9098,"Monica,Phoebe",person
74,9098,9414,Joey,bed
75,9495,9518,Joey,
76,9720,9954,Joey,"person,bed"
77,9954,10218,Joey,person
78,10218,10423,Joey,bed
79,10423,10520,Joey,
80,10627,10747,Joey,
81,10774,10955,Joey,bed
82,11048,11132,Joey,
83,11165,11213,Joey,bed
84,11213,11443,Ross,"person,bed"
85,11502,11534,Ross,tie
86,11576,11677,Ross,tie
87,11809,12039,Ross,
88,12039,12140,Ross,"person,bed"
89,12140,12214,Ross,person
90,12317,12732,Ross,person
91,12732,12891,Joey,"person,potted_plant,bed"
92,12891,13032,Joey,person
